,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
108,45.43,,37.04,0.72,clear-night,0.0,0.0,,Clear,45.43,1331942400,0,6.21,6.0,1.16,0.76
109,1.02,,7.44,0.8,clear-night,0.0,0.0,,Clear,12.43,1328832000,0,6.21,45.0,8.05,7.99
110,34.82,,33.0,0.93,clear-night,0.0,0.0,,Clear,34.82,1319241600,0,6.22,,2.01,0.0
111,34.63,0.44,39.41,0.89,partly-cloudy-night,0.0,0.0,,Partly Cloudy,42.42,1322265600,0,6.22,240.0,16.1,16.1
112,34.1,0.19,34.98,0.76,clear-night,0.0,0.0,,Clear,41.89,1330128000,0,6.22,289.0,21.36,15.54
113,29.99,0.75,28.43,0.65,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,39.14,1323475200,0,6.22,238.0,19.99,17.55
114,39.02,0.75,39.54,0.77,wind,0.0,0.0,,Breezy and Mostly Cloudy,46.44,1333152000,0,6.22,281.0,35.66,19.55
115,56.63,,46.41,0.69,clear-night,0.0,0.0,,Clear,56.63,1336176000,0,6.21,241.0,7.01,6.2
116,41.14,0.75,37.34,0.7,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,46.43,1334016000,0,6.22,180.0,12.01,11.32
117,13.91,0.75,16.63,0.76,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,23.05,1327795200,0,3.65,60.0,8.05,8.05
118,40.03,,40.21,0.9,clear-night,0.0,0.0,,Clear,43.02,1320451200,0,6.21,65.0,4.99,4.99
119,56.63,,49.99,0.78,clear-night,0.0,0.0,,Clear,56.63,1313798400,0,6.21,260.0,10.35,10.35
120,52.82,,37.41,0.56,clear-night,0.0,0.0,,Clear,52.82,1334102400,0,6.21,159.0,12.01,8.56
121,29.99,0.75,28.43,0.65,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,39.14,1323475200,0,6.22,238.0,19.99,17.55
122,34.08,,34.59,0.86,clear-night,0.0,0.0,,Clear,38.44,1318723200,0,6.21,110.0,5.74,5.74
123,39.02,0.75,39.54,0.77,wind,0.0,0.0,,Breezy and Mostly Cloudy,46.44,1333152000,0,6.22,281.0,35.66,19.55
124,40.74,0.75,37.4,0.71,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,46.44,1331424000,0,6.22,281.0,12.67,12.67
125,44.57,,37.4,0.76,clear-night,0.0,0.0,,Clear,44.57,1334966400,0,6.21,170.0,,1.02
126,57.23,0.75,56.22,0.96,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,57.23,1315612800,0,4.69,115.0,2.09,2.09
127,66.4,1.0,64.41,0.96,rain,0.0206,0.52,rain,Light Rain,65.63,1312502400,0,3.47,191.0,2.99,2.2
128,43.63,,38.91,0.83,clear-night,0.0,0.0,,Clear,43.63,1332460800,0,6.21,349.0,2.29,2.2
129,5.24,,0.63,0.81,clear-night,0.0,0.0,,Clear,5.24,1329004800,0,6.21,326.0,2.01,1.04
130,34.63,0.44,39.41,0.89,partly-cloudy-night,0.0,0.0,,Partly Cloudy,42.42,1322265600,0,6.22,240.0,16.1,16.1
131,56.63,,46.41,0.69,clear-night,0.0,0.0,,Clear,56.63,1336176000,0,6.21,241.0,7.01,6.2
132,48.32,0.19,44.71,0.83,clear-night,0.0,0.0,,Clear,49.52,1316736000,0,6.21,255.0,4.0,4.0
133,41.79,0.75,46.41,0.93,wind,0.0,0.0,,Breezy and Mostly Cloudy,48.24,1330041600,0,3.11,259.0,18.0,17.57
134,40.03,,40.21,0.9,clear-night,0.0,0.0,,Clear,43.02,1320451200,0,6.21,65.0,4.99,4.99
135,15.11,0.75,17.7,0.76,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,24.05,1327708800,0,6.21,84.0,10.01,8.08
136,15.11,0.75,17.7,0.76,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,24.05,1327708800,0,6.21,84.0,10.01,8.08
137,56.63,,46.41,0.69,clear-night,0.0,0.0,,Clear,56.63,1336176000,0,6.21,241.0,7.01,6.2
138,34.1,0.19,34.98,0.76,clear-night,0.0,0.0,,Clear,41.89,1330128000,0,6.22,289.0,21.36,15.54
139,46.98,,46.41,0.9,clear-night,0.0,0.0,,Clear,49.23,1319932800,0,5.38,141.0,5.57,5.57
140,34.82,,33.0,0.93,clear-night,0.0,0.0,,Clear,34.82,1318636800,0,6.22,11.0,1.16,0.91
141,28.68,0.61,30.19,0.75,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.22,1323561600,0,6.22,251.0,14.99,13.82
142,52.82,,37.41,0.56,clear-night,0.0,0.0,,Clear,52.82,1334102400,0,6.21,159.0,12.01,8.56
143,14.45,0.75,14.59,0.8,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,19.72,1328918400,0,6.22,245.0,4.99,3.6
144,57.23,0.75,56.22,0.96,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,57.23,1315612800,0,4.69,115.0,2.09,2.09
145,64.98,,62.59,0.94,clear-night,0.0,0.0,,Clear,64.43,1312588800,0,6.21,12.0,2.29,1.98
146,40.03,,40.21,0.9,clear-night,0.0,0.0,,Clear,43.02,1320451200,0,6.21,65.0,4.99,4.99
147,56.63,,49.99,0.78,clear-night,0.0,0.0,,Clear,56.63,1313798400,0,6.21,260.0,10.35,10.35
148,34.63,0.44,39.41,0.89,partly-cloudy-night,0.0,0.0,,Partly Cloudy,42.42,1322265600,0,6.22,240.0,16.1,16.1
149,28.77,,28.71,0.83,clear-night,0.0,0.0,,Clear,33.43,1331251200,0,6.21,270.0,4.99,4.98
150,47.24,,44.59,0.9,clear-night,0.0,0.0,,Clear,47.24,1316822400,0,6.21,167.0,1.16,0.79
151,46.63,,38.36,0.73,clear-night,0.0,0.0,,Clear,46.63,1332547200,0,6.21,41.0,2.99,2.3
152,44.57,,37.4,0.76,clear-night,0.0,0.0,,Clear,44.57,1334966400,0,6.21,170.0,,1.02
153,34.82,,33.0,0.93,clear-night,0.0,0.0,,Clear,34.82,1318636800,0,6.22,11.0,1.16,0.91
154,28.28,1.0,30.05,0.92,cloudy,0.0,0.0,,Overcast,32.12,1321574400,0,2.24,270.0,4.0,3.94
155,62.7,,49.98,0.63,clear-night,0.0,0.0,,Clear,62.7,1335657600,0,6.21,58.0,,4.33
156,51.02,,47.02,0.86,clear-night,0.0,0.0,,Clear,51.02,1316908800,0,6.21,80.0,2.29,2.19
157,34.58,0.86,37.4,0.82,rain,0.0073,0.48,rain,Drizzle,42.62,1323388800,0,6.22,200.0,17.25,17.25
158,34.64,0.75,37.16,0.86,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,41.03,1322870400,0,6.22,235.0,12.01,10.68
159,40.03,,34.69,0.72,clear-night,0.0,0.0,,Clear,43.02,1334448000,0,6.21,30.0,4.99,4.99
160,26.2,,27.17,0.82,clear-night,0.0,0.0,,Clear,32.05,1333843200,0,6.21,282.0,6.91,6.12
161,14.45,0.75,14.59,0.8,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,19.72,1328918400,0,6.22,245.0,4.99,3.6
162,44.57,,42.8,0.93,fog,0.0,0.0,,Foggy,44.57,1319846400,0,1.33,140.0,,2.29
163,57.23,0.75,56.22,0.96,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,57.23,1315612800,0,4.69,115.0,2.09,2.09
164,39.69,0.75,42.61,0.93,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,44.62,1331510400,0,5.53,281.0,9.21,9.21
